id,transaction_date,value_date,reference,debit,credit,balance,remarks,predicted_category,created_at,updated_at
26,2024-12-03,2024-12-03,Fuel purchase,30216.59,,4068790.14,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
27,2024-12-05,2024-12-05,Utility bills,23485.66,,4045304.48,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
28,2024-12-05,2024-12-05,Fuel purchase,40859.81,,4004444.67,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
29,2024-12-05,2024-12-05,Repair / Maintenance,18330.76,,3986113.91,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
30,2024-12-06,2024-12-06,Repair / Maintenance,79413.94,,3906699.97,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
31,2024-12-07,2024-12-07,Bank fees / transfer,6473.34,,3900226.63,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
32,2024-12-07,2024-12-07,Customer payment,,21789.43,3922016.06,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
33,2024-12-09,2024-12-09,Customer payment,,271847.26,4193863.32,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
34,2024-12-10,2024-12-10,Customer payment,,368114.64,4561977.96,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
35,2024-12-13,2024-12-13,Fuel purchase,27070.86,,4534907.10,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
36,2024-12-14,2024-12-14,Customer payment,,354134.28,4889041.38,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
37,2024-12-14,2024-12-14,Bank fees / transfer,3417.77,,4885623.61,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
38,2024-12-15,2024-12-15,Misc credit,,16971.87,4902595.48,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
39,2024-12-15,2024-12-15,Customer payment,,313370.98,5215966.46,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
40,2024-12-15,2024-12-15,POS PURCHASE - Inventory,188265.61,,5027700.85,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
41,2024-12-17,2024-12-17,Customer payment,,271642.07,5299342.92,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
42,2024-12-17,2024-12-17,Fuel purchase,46609.25,,5252733.67,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
43,2024-12-17,2024-12-17,Customer payment,,472617.77,5725351.44,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
44,2024-12-18,2024-12-18,Customer payment,,466444.64,6191796.08,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
45,2024-12-23,2024-12-23,Customer payment,,161788.84,6353584.92,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
46,2024-12-24,2024-12-24,Bank fees / transfer,3803.08,,6349781.84,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
47,2024-12-24,2024-12-24,Capital injection,,515962.69,6865744.53,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
48,2024-12-25,2024-12-25,Customer payment,,429780.45,7295524.98,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
49,2024-12-25,2024-12-25,Customer payment,,500482.84,7796007.82,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
50,2024-12-25,2024-12-25,Customer payment,,434995.56,8231003.38,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
51,2024-12-27,2024-12-27,Customer payment,,49514.24,8280517.62,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
52,2024-12-27,2024-12-27,Customer payment,,183494.95,8464012.57,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
53,2024-12-28,2024-12-28,Salary payment,91426.23,,8372586.34,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
54,2024-12-29,2024-12-29,POS PURCHASE - Inventory,28705.25,,8343881.09,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
55,2024-12-30,2024-12-30,Customer payment,,430789.19,8774670.28,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
56,2025-01-01,2025-01-01,Rent payment,256853.73,,8517816.55,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
57,2025-01-01,2025-01-01,Misc debit,31691.25,,8486125.30,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
58,2025-01-01,2025-01-01,Customer payment,,432080.46,8918205.76,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
59,2025-01-03,2025-01-03,Internet subscription,18382.49,,8899823.27,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
60,2025-01-04,2025-01-04,POS PURCHASE - Inventory,283975.53,,8615847.74,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
61,2025-01-05,2025-01-05,Utility bills,27659.25,,8588188.49,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
62,2025-01-05,2025-01-05,Bank fees / transfer,3576.46,,8584612.03,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
63,2025-01-05,2025-01-05,POS PURCHASE - Inventory,414695.32,,8169916.71,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
64,2025-01-05,2025-01-05,Refund/Chargeback,,41906.52,8211823.23,Customer refund,Refund/Chargeback,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
65,2025-01-06,2025-01-06,Customer payment,,386934.76,8598757.99,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
66,2025-01-06,2025-01-06,Capital injection,,819868.78,9418626.77,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
67,2025-01-07,2025-01-07,Misc debit,27273.17,,9391353.60,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
68,2025-01-07,2025-01-07,Misc credit,,27112.19,9418465.79,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
69,2025-01-07,2025-01-07,Misc credit,,37145.65,9455611.44,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
70,2025-01-08,2025-01-08,Customer payment,,248502.77,9704114.21,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
71,2025-01-10,2025-01-10,Customer payment,,239562.61,9943676.82,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
72,2025-01-10,2025-01-10,Capital injection,,169470.52,10113147.34,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
73,2025-01-11,2025-01-11,Misc debit,7545.97,,10105601.37,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
74,2025-01-12,2025-01-12,Bank fees / transfer,16224.92,,10089376.45,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
75,2025-01-12,2025-01-12,Repair / Maintenance,103414.80,,9985961.65,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
76,2025-01-13,2025-01-13,Repair / Maintenance,71866.10,,9914095.55,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
77,2025-01-13,2025-01-13,POS PURCHASE - Inventory,56726.91,,9857368.64,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
78,2025-01-13,2025-01-13,Customer payment,,214360.74,10071729.38,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
79,2025-01-14,2025-01-14,POS PURCHASE - Inventory,98464.36,,9973265.02,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
80,2025-01-14,2025-01-14,Repair / Maintenance,119605.19,,9853659.83,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
81,2025-01-15,2025-01-15,Fuel purchase,31089.07,,9822570.76,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
82,2025-01-19,2025-01-19,POS PURCHASE - Inventory,126331.05,,9696239.71,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
83,2025-01-20,2025-01-20,Customer payment,,44845.82,9741085.53,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
84,2025-01-20,2025-01-20,Customer payment,,99116.45,9840201.98,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
85,2025-01-21,2025-01-21,Fuel purchase,27657.24,,9812544.74,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
86,2025-01-21,2025-01-21,Capital injection,,973818.79,10786363.53,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
87,2025-01-21,2025-01-21,Capital injection,,112246.70,10898610.23,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
88,2025-01-23,2025-01-23,Customer payment,,501911.06,11400521.29,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
89,2025-01-23,2025-01-23,POS PURCHASE - Inventory,217957.30,,11182563.99,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
90,2025-01-24,2025-01-24,Customer payment,,454728.57,11637292.56,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
91,2025-01-24,2025-01-24,Customer payment,,153500.23,11790792.79,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
92,2025-01-25,2025-01-25,Fuel purchase,56074.97,,11734717.82,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
93,2025-01-27,2025-01-27,Customer payment,,435069.79,12169787.61,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
94,2025-01-27,2025-01-27,Bank fees / transfer,11646.19,,12158141.42,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
95,2025-01-28,2025-01-28,Salary payment,60733.47,,12097407.95,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
96,2025-01-29,2025-01-29,Fuel purchase,32840.52,,12064567.43,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
97,2025-01-30,2025-01-30,Misc debit,50054.98,,12014512.45,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
98,2025-01-30,2025-01-30,Repair / Maintenance,39340.49,,11975171.96,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
99,2025-01-30,2025-01-30,POS PURCHASE - Inventory,272086.38,,11703085.58,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
100,2025-02-01,2025-02-01,Rent payment,214528.34,,11488557.24,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
101,2025-02-01,2025-02-01,Customer payment,,349009.13,11837566.37,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
102,2025-02-02,2025-02-02,Repair / Maintenance,10723.58,,11826842.79,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
103,2025-02-02,2025-02-02,Customer payment,,180398.14,12007240.93,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
104,2025-02-02,2025-02-02,Customer payment,,72355.33,12079596.26,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
105,2025-02-02,2025-02-02,Bank fees / transfer,1900.96,,12077695.30,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
106,2025-02-02,2025-02-02,Customer payment,,233853.65,12311548.95,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
107,2025-02-03,2025-02-03,Internet subscription,16134.93,,12295414.02,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
108,2025-02-03,2025-02-03,Bank fees / transfer,262.38,,12295151.64,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
109,2025-02-03,2025-02-03,Fuel purchase,45404.09,,12249747.55,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
110,2025-02-03,2025-02-03,Customer payment,,54821.67,12304569.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
111,2025-02-04,2025-02-04,Customer payment,,408439.00,12713008.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
112,2025-02-05,2025-02-05,Utility bills,14217.15,,12698791.07,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
113,2025-02-05,2025-02-05,POS PURCHASE - Inventory,262346.55,,12436444.52,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
114,2025-02-05,2025-02-05,POS PURCHASE - Inventory,226858.26,,12209586.26,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
115,2025-02-06,2025-02-06,Customer payment,,487676.03,12697262.29,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
116,2025-02-07,2025-02-07,Bank fees / transfer,4223.30,,12693038.99,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
117,2025-02-07,2025-02-07,Customer payment,,380232.29,13073271.28,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
118,2025-02-08,2025-02-08,Capital injection,,567015.60,13640286.88,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
119,2025-02-08,2025-02-08,Misc credit,,32333.94,13672620.82,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
120,2025-02-09,2025-02-09,Bank fees / transfer,11933.92,,13660686.90,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
121,2025-02-09,2025-02-09,Fuel purchase,60041.67,,13600645.23,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
122,2025-02-09,2025-02-09,POS PURCHASE - Inventory,38025.95,,13562619.28,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
123,2025-02-10,2025-02-10,POS PURCHASE - Inventory,158865.34,,13403753.94,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
124,2025-02-11,2025-02-11,Fuel purchase,52017.93,,13351736.01,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
125,2025-02-12,2025-02-12,Repair / Maintenance,113446.04,,13238289.97,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
126,2025-02-13,2025-02-13,Capital injection,,1534748.74,14773038.71,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
127,2025-02-15,2025-02-15,POS PURCHASE - Inventory,365555.49,,14407483.22,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
128,2025-02-16,2025-02-16,Fuel purchase,33218.45,,14374264.77,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
129,2025-02-16,2025-02-16,POS PURCHASE - Inventory,247708.50,,14126556.27,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
130,2025-02-16,2025-02-16,Capital injection,,1078749.74,15205306.01,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
131,2025-02-17,2025-02-17,Bank fees / transfer,3557.76,,15201748.25,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
132,2025-02-17,2025-02-17,Customer payment,,98340.30,15300088.55,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
133,2025-02-17,2025-02-17,Bank fees / transfer,14621.06,,15285467.49,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
134,2025-02-17,2025-02-17,Repair / Maintenance,85608.09,,15199859.40,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
135,2025-02-20,2025-02-20,Fuel purchase,24946.24,,15174913.16,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
136,2025-02-20,2025-02-20,POS PURCHASE - Inventory,70069.17,,15104843.99,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
137,2025-02-20,2025-02-20,Customer payment,,318110.60,15422954.59,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
138,2025-02-20,2025-02-20,Customer payment,,385557.54,15808512.13,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
139,2025-02-21,2025-02-21,POS PURCHASE - Inventory,178743.19,,15629768.94,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
140,2025-02-22,2025-02-22,Repair / Maintenance,38111.22,,15591657.72,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
141,2025-02-24,2025-02-24,Bank fees / transfer,12963.00,,15578694.72,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
142,2025-02-24,2025-02-24,Customer payment,,437962.13,16016656.85,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
143,2025-02-24,2025-02-24,POS PURCHASE - Inventory,264423.88,,15752232.97,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
144,2025-02-26,2025-02-26,Repair / Maintenance,64181.85,,15688051.12,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
145,2025-02-27,2025-02-27,Repair / Maintenance,87428.31,,15600622.81,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
146,2025-02-28,2025-02-28,Salary payment,72781.34,,15527841.47,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
147,2025-02-28,2025-02-28,Customer payment,,39054.92,15566896.39,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
148,2025-03-01,2025-03-01,Rent payment,122866.15,,15444030.24,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
149,2025-03-03,2025-03-03,Internet subscription,14088.38,,15429941.86,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
150,2025-03-03,2025-03-03,Customer payment,,484002.70,15913944.56,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
151,2025-03-04,2025-03-04,Bank fees / transfer,13976.16,,15899968.40,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
152,2025-03-04,2025-03-04,Bank fees / transfer,12029.42,,15887938.98,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
153,2025-03-04,2025-03-04,Customer payment,,388643.40,16276582.38,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
154,2025-03-05,2025-03-05,Utility bills,11571.48,,16265010.90,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
155,2025-03-06,2025-03-06,Bank fees / transfer,12919.64,,16252091.26,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
156,2025-03-06,2025-03-06,POS PURCHASE - Inventory,358643.72,,15893447.54,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
157,2025-03-06,2025-03-06,Capital injection,,1021389.32,16914836.86,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
158,2025-03-07,2025-03-07,Customer payment,,320834.21,17235671.07,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
